,date
3570,2017-09-05
3571,2017-09-05
3572,2017-09-05
3573,2017-09-05
3574,2017-09-05
3575,2017-09-05
3576,2017-09-05
3577,2017-09-05
3578,2017-09-05
3640,2017-09-06
3641,2017-09-06
3642,2017-09-06
3643,2017-09-06
3644,2017-09-06
3645,2017-09-06
3646,2017-09-06
3647,2017-09-06
3648,2017-09-06
3649,2017-09-06
3650,2017-09-06
3651,2017-09-06
3652,2017-09-06
3653,2017-09-06
3654,2017-09-06
3655,2017-09-06
3656,2017-09-06
3657,2017-09-06
3658,2017-09-06
3659,2017-09-06
3721,2017-09-06
3722,2017-09-06
3723,2017-09-06
3724,2017-09-06
3725,2017-09-06
3726,2017-09-06
3727,2017-09-06
3728,2017-09-06
3729,2017-09-06
3730,2017-09-06
3731,2017-09-06
3732,2017-09-06
3733,2017-09-06
3734,2017-09-06
3735,2017-09-06
3736,2017-09-06
3737,2017-09-06
3738,2017-09-06
3739,2017-09-06
3740,2017-09-06
3802,2017-09-06
3803,2017-09-06
3804,2017-09-06
3805,2017-09-06
3806,2017-09-06
3807,2017-09-06
3808,2017-09-06
3809,2017-09-06
3810,2017-09-06
3811,2017-09-06
3812,2017-09-06
3813,2017-09-06
3814,2017-09-06
3815,2017-09-06
3816,2017-09-06
3817,2017-09-06
3818,2017-09-06
3819,2017-09-06
3820,2017-09-06
3821,2017-09-06
3882,2017-09-06
3883,2017-09-06
3884,2017-09-06
3885,2017-09-06
3886,2017-09-06
3887,2017-09-06
3888,2017-09-06
3889,2017-09-06
3890,2017-09-06
3891,2017-09-06
3892,2017-09-06
3893,2017-09-06
3894,2017-09-06
3895,2017-09-06
3896,2017-09-06
3897,2017-09-06
3898,2017-09-06
3899,2017-09-06
3900,2017-09-06
3901,2017-09-06
3963,2017-09-06
3964,2017-09-06
3965,2017-09-06
3966,2017-09-06
3967,2017-09-06
3968,2017-09-06
3969,2017-09-06
3970,2017-09-06
3971,2017-09-06
3972,2017-09-06
3973,2017-09-06
3974,2017-09-06
3975,2017-09-06
3976,2017-09-06
3977,2017-09-06
3978,2017-09-06
3979,2017-09-06
3980,2017-09-06
3981,2017-09-06
3982,2017-09-06
4044,2017-09-06
4045,2017-09-06
4046,2017-09-06
4047,2017-09-06
4048,2017-09-06
4049,2017-09-06
4050,2017-09-06
4051,2017-09-06
4052,2017-09-06
4053,2017-09-06
4054,2017-09-06
4055,2017-09-06
4056,2017-09-06
4057,2017-09-06
4058,2017-09-06
4059,2017-09-06
4060,2017-09-06
4061,2017-09-06
4062,2017-09-06
4063,2017-09-06
4125,2017-09-06
4126,2017-09-06
4127,2017-09-06
4128,2017-09-06
4129,2017-09-06
4130,2017-09-06
4131,2017-09-06
4132,2017-09-06
4133,2017-09-06
4134,2017-09-06
4135,2017-09-06
4136,2017-09-06
4137,2017-09-06
4138,2017-09-06
4139,2017-09-06
4140,2017-09-06
4141,2017-09-06
4142,2017-09-06
4143,2017-09-06
4144,2017-09-06
4206,2017-09-06
4207,2017-09-06
4208,2017-09-06
4209,2017-09-06
4210,2017-09-06
4211,2017-09-06
4212,2017-09-06
4213,2017-09-06
4214,2017-09-06
4215,2017-09-06
4216,2017-09-06
4217,2017-09-06
4218,2017-09-06
4219,2017-09-06
4220,2017-09-06
4221,2017-09-06
4222,2017-09-06
4223,2017-09-06
4224,2017-09-06
4225,2017-09-06
4286,2017-09-06
4287,2017-09-06
4288,2017-09-06
4289,2017-09-06
4290,2017-09-06
4291,2017-09-06
4292,2017-09-06
4293,2017-09-06
4294,2017-09-06
4295,2017-09-06
4296,2017-09-06
4297,2017-09-06
4298,2017-09-06
4299,2017-09-06
4300,2017-09-06
4301,2017-09-06
4302,2017-09-06
4303,2017-09-06
4304,2017-09-06
4305,2017-09-06
4367,2017-09-06
4368,2017-09-06
4369,2017-09-06
4370,2017-09-06
4371,2017-09-06
4372,2017-09-06
4373,2017-09-06
4374,2017-09-06
4375,2017-09-06
4376,2017-09-06
4377,2017-09-06
4378,2017-09-06
4379,2017-09-06
4380,2017-09-06
4381,2017-09-06
4382,2017-09-06
4383,2017-09-06
4384,2017-09-06
4385,2017-09-06
4386,2017-09-06
4448,2017-09-06
4449,2017-09-06
4450,2017-09-06
4451,2017-09-06
4452,2017-09-06
4453,2017-09-06
4454,2017-09-06
4455,2017-09-06
4456,2017-09-06
4457,2017-09-06
4458,2017-09-06
4459,2017-09-06
4460,2017-09-06
4461,2017-09-06
4462,2017-09-06
4463,2017-09-06
4464,2017-09-06
4465,2017-09-06
4466,2017-09-06
4467,2017-09-06
4529,2017-09-06
4530,2017-09-06
4531,2017-09-06
4532,2017-09-06
4533,2017-09-06
4534,2017-09-06
4535,2017-09-06
4536,2017-09-06
4537,2017-09-06
4538,2017-09-06
4539,2017-09-06
4540,2017-09-06
4541,2017-09-06
4542,2017-09-06
4543,2017-09-06
4544,2017-09-06
4545,2017-09-06
4546,2017-09-06
4547,2017-09-06
4548,2017-09-06
4610,2017-09-06
4611,2017-09-06
4612,2017-09-06
4613,2017-09-06
4614,2017-09-06
4615,2017-09-06
4616,2017-09-06
4617,2017-09-06
4618,2017-09-06
4619,2017-09-06
4620,2017-09-06
4621,2017-09-06
4622,2017-09-06
4623,2017-09-06
4624,2017-09-06
4625,2017-09-06
4626,2017-09-06
4627,2017-09-06
4628,2017-09-06
4629,2017-09-06
4691,2017-09-06
4692,2017-09-06
4693,2017-09-06
4694,2017-09-06
4695,2017-09-06
4696,2017-09-06
4697,2017-09-06
4698,2017-09-06
4699,2017-09-06
4700,2017-09-06
4701,2017-09-06
4702,2017-09-06
4703,2017-09-06
4704,2017-09-06
4705,2017-09-06
4706,2017-09-06
4707,2017-09-06
4708,2017-09-06
4709,2017-09-06
4710,2017-09-06
4772,2017-09-06
4773,2017-09-06
4774,2017-09-06
4775,2017-09-06
4776,2017-09-06
4777,2017-09-06
4778,2017-09-06
4779,2017-09-06
4780,2017-09-06
4781,2017-09-06
4782,2017-09-06
4783,2017-09-06
4784,2017-09-06
4785,2017-09-06
4786,2017-09-06
4787,2017-09-06
4788,2017-09-06
4789,2017-09-06
4790,2017-09-06
4791,2017-09-06
4853,2017-09-07
4854,2017-09-07
4855,2017-09-07
4856,2017-09-07
4857,2017-09-07
4858,2017-09-07
4859,2017-09-07
4860,2017-09-07
4861,2017-09-07
4862,2017-09-07
4863,2017-09-07
4864,2017-09-07
4865,2017-09-07
4866,2017-09-07
4867,2017-09-07
4868,2017-09-07
4869,2017-09-07
4870,2017-09-07
4871,2017-09-07
4872,2017-09-07
4933,2017-09-07
4934,2017-09-07
4935,2017-09-07
4936,2017-09-07
4937,2017-09-07
4938,2017-09-07
4939,2017-09-07
4940,2017-09-07
4941,2017-09-07
4942,2017-09-07
4943,2017-09-07
4944,2017-09-07
4945,2017-09-07
4946,2017-09-07
4947,2017-09-07
4948,2017-09-07
4949,2017-09-07
4950,2017-09-07
4951,2017-09-07
4952,2017-09-07
5014,2017-09-07
5015,2017-09-07
5016,2017-09-07
5017,2017-09-07
5018,2017-09-07
5019,2017-09-07
5020,2017-09-07
5021,2017-09-07
5022,2017-09-07
5023,2017-09-07
5024,2017-09-07
5025,2017-09-07
5026,2017-09-07
5027,2017-09-07
5028,2017-09-07
5029,2017-09-07
5030,2017-09-07
5031,2017-09-07
5032,2017-09-07
5033,2017-09-07
5095,2017-09-07
5096,2017-09-07
5097,2017-09-07
5098,2017-09-07
5099,2017-09-07
5100,2017-09-07
5101,2017-09-07
5102,2017-09-07
5103,2017-09-07
5104,2017-09-07
5105,2017-09-07
5106,2017-09-07
5107,2017-09-07
5108,2017-09-07
5109,2017-09-07
5110,2017-09-07
5111,2017-09-07
5112,2017-09-07
5113,2017-09-07
5114,2017-09-07
5176,2017-09-07
5177,2017-09-07
5178,2017-09-07
5179,2017-09-07
5180,2017-09-07
5181,2017-09-07
5182,2017-09-07
5183,2017-09-07
5184,2017-09-07
5185,2017-09-07
5186,2017-09-07
5187,2017-09-07
5188,2017-09-07
5189,2017-09-07
5190,2017-09-07
5191,2017-09-07
5192,2017-09-07
5193,2017-09-07
5194,2017-09-07
5195,2017-09-07
5256,2017-09-07
5257,2017-09-07
5258,2017-09-07
5259,2017-09-07
5260,2017-09-07
5261,2017-09-07
5262,2017-09-07
5263,2017-09-07
5264,2017-09-07
5265,2017-09-07
5266,2017-09-07
5267,2017-09-07
5268,2017-09-07
5269,2017-09-07
5270,2017-09-07
5271,2017-09-07
5272,2017-09-07
5273,2017-09-07
5274,2017-09-07
5275,2017-09-07
5337,2017-09-07
5338,2017-09-07
5339,2017-09-07
5340,2017-09-07
5341,2017-09-07
5342,2017-09-07
5343,2017-09-07
5344,2017-09-07
5345,2017-09-07
5346,2017-09-07
5347,2017-09-07
5348,2017-09-07
5349,2017-09-07
5350,2017-09-07
5351,2017-09-07
5352,2017-09-07
5353,2017-09-07
5354,2017-09-07
5355,2017-09-07
5356,2017-09-07
5418,2017-09-07
5419,2017-09-07
5420,2017-09-07
5421,2017-09-07
5422,2017-09-07
5423,2017-09-07
5424,2017-09-07
5425,2017-09-07
5426,2017-09-07
5427,2017-09-07
5428,2017-09-07
5429,2017-09-07
5430,2017-09-07
5431,2017-09-07
5432,2017-09-07
5433,2017-09-07
5434,2017-09-07
5435,2017-09-07
5436,2017-09-07
5437,2017-09-07
5498,2017-09-07
5499,2017-09-07
5500,2017-09-07
5501,2017-09-07
5502,2017-09-07
5503,2017-09-07
5504,2017-09-07
5505,2017-09-07
5506,2017-09-07
5507,2017-09-07
5508,2017-09-07
5509,2017-09-07
5510,2017-09-07
5511,2017-09-07
5512,2017-09-07
5513,2017-09-07
5514,2017-09-07
5515,2017-09-07
5516,2017-09-07
5517,2017-09-07
5579,2017-09-07
5580,2017-09-07
5581,2017-09-07
5582,2017-09-07
5583,2017-09-07
5584,2017-09-07
5585,2017-09-07
5586,2017-09-07
5587,2017-09-07
5588,2017-09-07
5589,2017-09-07
5590,2017-09-07
5591,2017-09-07
5592,2017-09-07
5593,2017-09-07
5594,2017-09-07
5595,2017-09-07
5596,2017-09-07
5597,2017-09-07
5598,2017-09-07
5660,2017-09-07
5661,2017-09-07
5662,2017-09-07
5663,2017-09-07
5664,2017-09-07
5665,2017-09-07
5666,2017-09-07
5667,2017-09-07
5668,2017-09-07
5669,2017-09-07
5670,2017-09-07
5671,2017-09-07
5672,2017-09-07
5673,2017-09-07
5674,2017-09-07
5675,2017-09-07
5676,2017-09-07
5677,2017-09-07
5678,2017-09-07
5679,2017-09-07
5740,2017-09-07
5741,2017-09-07
5742,2017-09-07
5743,2017-09-07
5744,2017-09-07
