,date,stock_code,stock_yield
77,2017-12-26,000008.SZ,2.699530516431947
78,2017-12-27,000008.SZ,-0.34285714285714475
79,2017-12-28,000008.SZ,-0.6880733944954032
80,2017-12-29,000008.SZ,1.0392609699769073
0,2017-09-01,000009.SZ,0.11655011655011815
1,2017-09-04,000009.SZ,1.5133876600698537
2,2017-09-05,000009.SZ,1.1467889908256756
3,2017-09-06,000009.SZ,1.9274376417233618
4,2017-09-07,000009.SZ,-0.22246941045606095
5,2017-09-08,000009.SZ,2.6755852842809347
6,2017-09-11,000009.SZ,3.0401737242128135
7,2017-09-12,000009.SZ,-0.9483667017913588
8,2017-09-13,000009.SZ,2.659574468085113
9,2017-09-14,000009.SZ,-2.4870466321243567
10,2017-09-15,000009.SZ,0.5313496280552776
11,2017-09-18,000009.SZ,1.9027484143763207
12,2017-09-19,000009.SZ,-2.4896265560165998
13,2017-09-20,000009.SZ,1.0638297872340496
14,2017-09-21,000009.SZ,-2.1052631578947323
15,2017-09-22,000009.SZ,-1.935483870967758
16,2017-09-25,000009.SZ,-2.960526315789469
17,2017-09-26,000009.SZ,1.1299435028248483
18,2017-09-27,000009.SZ,0.893854748603351
19,2017-09-28,000009.SZ,-0.44296788482833804
20,2017-09-29,000009.SZ,0.0
21,2017-10-09,000009.SZ,2.1134593993325845
22,2017-10-10,000009.SZ,0.43572984749455923
23,2017-10-11,000009.SZ,-2.6030368763557576
24,2017-10-12,000009.SZ,-1.6703786191536785
25,2017-10-13,000009.SZ,0.9060022650056787
26,2017-10-16,000009.SZ,-1.9079685746352548
27,2017-10-17,000009.SZ,-1.4874141876430214
28,2017-10-18,000009.SZ,-1.1614401858304313
29,2017-10-19,000009.SZ,-2.3501762632197276
30,2017-10-20,000009.SZ,1.4440433212996373
31,2017-10-23,000009.SZ,0.9489916963226541
32,2017-10-24,000009.SZ,-0.47003525264393
33,2017-10-25,000009.SZ,0.590318772136933
34,2017-10-26,000009.SZ,0.9389671361502261
35,2017-10-27,000009.SZ,-1.9767441860464974
36,2017-10-30,000009.SZ,-4.033214709371302
37,2017-10-31,000009.SZ,0.7416563658838138
38,2017-11-01,000009.SZ,-0.7361963190184229
39,2017-11-02,000009.SZ,-1.606922126081578
40,2017-11-03,000009.SZ,-2.386934673366836
41,2017-11-06,000009.SZ,0.7722007722007707
42,2017-11-07,000009.SZ,0.638569604086836
43,2017-11-08,000009.SZ,2.030456852791862
44,2017-11-09,000009.SZ,-0.3731343283581934
45,2017-11-10,000009.SZ,0.4993757802746579
46,2017-11-13,000009.SZ,-0.496894409937898
47,2017-11-14,000009.SZ,-2.621722846441943
48,2017-11-15,000009.SZ,-0.5128205128205221
49,2017-11-16,000009.SZ,-0.12886597938143174
50,2017-11-17,000009.SZ,-3.483870967741931
51,2017-11-20,000009.SZ,1.6042780748662944
52,2017-11-21,000009.SZ,-0.2631578947368318
53,2017-11-22,000009.SZ,0.6596306068601621
54,2017-11-23,000009.SZ,-1.834862385321101
55,2017-11-24,000009.SZ,1.735647530040052
56,2017-11-27,000009.SZ,-1.9685039370078705
57,2017-11-28,000009.SZ,1.8741633199464536
58,2017-11-29,000009.SZ,1.4454664914586024
59,2017-11-30,000009.SZ,-1.5544041450777257
60,2017-12-01,000009.SZ,-0.2631578947368318
61,2017-12-04,000009.SZ,-2.110817941952503
62,2017-12-05,000009.SZ,-2.8301886792452824
63,2017-12-06,000009.SZ,1.109570041608876
64,2017-12-07,000009.SZ,0.137174211248281
65,2017-12-08,000009.SZ,0.273972602739736
66,2017-12-11,000009.SZ,1.7759562841529908
67,2017-12-12,000009.SZ,-0.8053691275167751
68,2017-12-13,000009.SZ,0.27063599458727605
69,2017-12-14,000009.SZ,-2.0242914979757054
70,2017-12-15,000009.SZ,0.4132231404958553
71,2017-12-18,000009.SZ,-0.5486968449931351
72,2017-12-19,000009.SZ,-0.13793103448276334
73,2017-12-20,000009.SZ,-1.3812154696132617
74,2017-12-21,000009.SZ,-0.5602240896358524
75,2017-12-22,000009.SZ,1.8309859154929553
76,2017-12-25,000009.SZ,-0.8298755186722184
77,2017-12-26,000009.SZ,0.2789400278940146
78,2017-12-27,000009.SZ,0.13908205841446364
79,2017-12-28,000009.SZ,-0.2777777777777879
80,2017-12-29,000009.SZ,0.6963788300835771
0,2017-09-01,000060.SZ,0.9992313604919589
1,2017-09-04,000060.SZ,1.9786910197869156
2,2017-09-05,000060.SZ,-1.6417910447761308
3,2017-09-06,000060.SZ,-1.9726858877086473
4,2017-09-07,000060.SZ,-1.5479876160990558
5,2017-09-08,000060.SZ,0.4716981132075526
6,2017-09-11,000060.SZ,1.4866979655711932
7,2017-09-12,000060.SZ,-0.38550501156515704
8,2017-09-13,000060.SZ,1.006191950464408
9,2017-09-14,000060.SZ,-3.4482758620689613
10,2017-09-15,000060.SZ,-2.3809523809523725
11,2017-09-18,000060.SZ,1.4634146341463428
12,2017-09-19,000060.SZ,-0.9615384615384692
13,2017-09-20,000060.SZ,3.8834951456310662
14,2017-09-21,000060.SZ,-3.4267912772585563
15,2017-09-22,000060.SZ,-2.2580645161290547
16,2017-09-25,000060.SZ,-1.402640264026389
17,2017-09-26,000060.SZ,2.0083682008368076
18,2017-09-27,000060.SZ,0.656275635767023
19,2017-09-28,000060.SZ,-1.792991035044822
20,2017-09-29,000060.SZ,0.6639004149377792
21,2017-10-09,000060.SZ,2.061005770816138
22,2017-10-10,000060.SZ,-1.6155088852988775
23,2017-10-11,000060.SZ,-1.1494252873563315
24,2017-10-12,000060.SZ,-1.495016611295663
25,2017-10-13,000060.SZ,0.1686340640809414
26,2017-10-16,000060.SZ,1.0101010101009944
27,2017-10-17,000060.SZ,-2.833333333333332
28,2017-10-18,000060.SZ,-1.2006861063464824
29,2017-10-19,000060.SZ,-1.996527777777779
30,2017-10-20,000060.SZ,1.5057573073516517
31,2017-10-23,000060.SZ,0.0
32,2017-10-24,000060.SZ,0.2617801047120283
33,2017-10-25,000060.SZ,0.4351610095735259
34,2017-10-26,000060.SZ,0.6932409012131879
35,2017-10-27,000060.SZ,-1.9793459552495785
36,2017-10-30,000060.SZ,-3.160667251975424
37,2017-10-31,000060.SZ,0.8159564823209564
38,2017-11-01,000060.SZ,0.17985611510791255
39,2017-11-02,000060.SZ,-0.6283662477558405
40,2017-11-03,000060.SZ,-2.168021680216803
41,2017-11-06,000060.SZ,1.0156971375807844
42,2017-11-07,000060.SZ,0.8226691042047429
43,2017-11-08,000060.SZ,-0.4533091568449499
44,2017-11-09,000060.SZ,0.2732240437158362
45,2017-11-10,000060.SZ,-1.9073569482288888
46,2017-11-13,000060.SZ,1.2962962962962843
47,2017-11-14,000060.SZ,-0.2742230347349106
48,2017-11-15,000060.SZ,-3.208065994500453
49,2017-11-16,000060.SZ,-0.47348484848486194
50,2017-11-17,000060.SZ,-3.4253092293054177
51,2017-11-20,000060.SZ,1.379310344827589
52,2017-11-21,000060.SZ,0.09718172983481654
53,2017-11-22,000060.SZ,1.4563106796116276
54,2017-11-23,000060.SZ,-1.2440191387559696
55,2017-11-24,000060.SZ,2.721087017936341
56,2017-11-27,000060.SZ,-1.0406811731314969
57,2017-11-28,000060.SZ,1.7208413001912115
