,date,stock_code,stock_name,stock_weight,stock_industry,stock_yield
731,2017-09-01,000157.SZ,中联重科,0.1863,机械设备,0.43572984749455923
732,2017-09-01,000157.SZ,中联重科,0.1863,机械设备,0.43572984749455923
733,2017-09-01,000157.SZ,中联重科,0.1863,机械设备,0.43572984749455923
734,2017-09-01,000157.SZ,中联重科,0.1863,机械设备,0.43572984749455923
735,2017-09-01,000157.SZ,中联重科,0.1863,机械设备,0.43572984749455923
736,2017-09-01,000157.SZ,中联重科,0.1863,机械设备,0.43572984749455923
737,2017-09-01,000157.SZ,中联重科,0.1863,机械设备,0.43572984749455923
738,2017-09-01,000157.SZ,中联重科,0.1863,机械设备,0.43572984749455923
739,2017-09-01,000157.SZ,中联重科,0.1863,机械设备,0.43572984749455923
740,2017-09-01,000157.SZ,中联重科,0.1863,机械设备,0.43572984749455923
741,2017-09-01,000157.SZ,中联重科,0.1863,机械设备,0.43572984749455923
742,2017-09-01,000157.SZ,中联重科,0.1863,机械设备,0.43572984749455923
743,2017-09-01,000157.SZ,中联重科,0.1863,机械设备,0.43572984749455923
744,2017-09-01,000157.SZ,中联重科,0.1863,机械设备,0.43572984749455923
745,2017-09-01,000157.SZ,中联重科,0.1863,机械设备,0.43572984749455923
746,2017-09-01,000157.SZ,中联重科,0.1863,机械设备,0.43572984749455923
808,2017-09-01,000166.SZ,申万宏源,0.3376,非银金融,0.3289473684210398
809,2017-09-01,000166.SZ,申万宏源,0.3376,非银金融,0.3289473684210398
810,2017-09-01,000166.SZ,申万宏源,0.3376,非银金融,0.3289473684210398
811,2017-09-01,000166.SZ,申万宏源,0.3376,非银金融,0.3289473684210398
812,2017-09-01,000166.SZ,申万宏源,0.3376,非银金融,0.3289473684210398
813,2017-09-01,000166.SZ,申万宏源,0.3376,非银金融,0.3289473684210398
814,2017-09-01,000166.SZ,申万宏源,0.3376,非银金融,0.3289473684210398
815,2017-09-01,000166.SZ,申万宏源,0.3376,非银金融,0.3289473684210398
816,2017-09-01,000166.SZ,申万宏源,0.3376,非银金融,0.3289473684210398
817,2017-09-01,000166.SZ,申万宏源,0.3376,非银金融,0.3289473684210398
818,2017-09-01,000166.SZ,申万宏源,0.3376,非银金融,0.3289473684210398
819,2017-09-01,000166.SZ,申万宏源,0.3376,非银金融,0.3289473684210398
820,2017-09-01,000166.SZ,申万宏源,0.3376,非银金融,0.3289473684210398
821,2017-09-01,000166.SZ,申万宏源,0.3376,非银金融,0.3289473684210398
822,2017-09-01,000166.SZ,申万宏源,0.3376,非银金融,0.3289473684210398
823,2017-09-01,000166.SZ,申万宏源,0.3376,非银金融,0.3289473684210398
824,2017-09-01,000166.SZ,申万宏源,0.3376,非银金融,0.3289473684210398
825,2017-09-01,000166.SZ,申万宏源,0.3376,非银金融,0.3289473684210398
826,2017-09-01,000166.SZ,申万宏源,0.3376,非银金融,0.3289473684210398
827,2017-09-01,000166.SZ,申万宏源,0.3376,非银金融,0.3289473684210398
889,2017-09-01,000333.SZ,美的集团,1.7001,家用电器,-0.39024390243901363
890,2017-09-01,000333.SZ,美的集团,1.7001,家用电器,-0.39024390243901363
891,2017-09-01,000333.SZ,美的集团,1.7001,家用电器,-0.39024390243901363
892,2017-09-01,000333.SZ,美的集团,1.7001,家用电器,-0.39024390243901363
893,2017-09-01,000333.SZ,美的集团,1.7001,家用电器,-0.39024390243901363
894,2017-09-01,000333.SZ,美的集团,1.7001,家用电器,-0.39024390243901363
895,2017-09-01,000333.SZ,美的集团,1.7001,家用电器,-0.39024390243901363
896,2017-09-01,000333.SZ,美的集团,1.7001,家用电器,-0.39024390243901363
897,2017-09-01,000333.SZ,美的集团,1.7001,家用电器,-0.39024390243901363
898,2017-09-01,000333.SZ,美的集团,1.7001,家用电器,-0.39024390243901363
899,2017-09-01,000333.SZ,美的集团,1.7001,家用电器,-0.39024390243901363
900,2017-09-01,000333.SZ,美的集团,1.7001,家用电器,-0.39024390243901363
901,2017-09-01,000333.SZ,美的集团,1.7001,家用电器,-0.39024390243901363
902,2017-09-01,000333.SZ,美的集团,1.7001,家用电器,-0.39024390243901363
903,2017-09-01,000333.SZ,美的集团,1.7001,家用电器,-0.39024390243901363
904,2017-09-01,000333.SZ,美的集团,1.7001,家用电器,-0.39024390243901363
905,2017-09-01,000333.SZ,美的集团,1.7001,家用电器,-0.39024390243901363
906,2017-09-01,000333.SZ,美的集团,1.7001,家用电器,-0.39024390243901363
907,2017-09-01,000333.SZ,美的集团,1.7001,家用电器,-0.39024390243901363
908,2017-09-01,000333.SZ,美的集团,1.7001,家用电器,-0.39024390243901363
970,2017-09-01,000338.SZ,潍柴动力,0.323,汽车,0.694444444444442
971,2017-09-01,000338.SZ,潍柴动力,0.323,汽车,0.694444444444442
972,2017-09-01,000338.SZ,潍柴动力,0.323,汽车,0.694444444444442
973,2017-09-01,000338.SZ,潍柴动力,0.323,汽车,0.694444444444442
974,2017-09-01,000338.SZ,潍柴动力,0.323,汽车,0.694444444444442
